city,区/市/县/旗,基站标识eNodeBID,小区标识（CellID）,k,基站中文名,扇区中文名,longitude,latitude,站点类型,设备厂家,扇区覆盖区域类型,农村/城区大类,物理小区标识(PCI),TAC,频段指示,天线方位角（度）,数据最近更新日期,id,tf, 
新余市,分宜县,471165,81,471165_81,XY_HMNB_XD_分宜县富长新村$F1FD_W,XY_HMNB_W_XD_分宜县富长新村F1FD-7,114.693,27.8078,宏站,华为,县城,城区,97,29725,5,90,2017/9/29 0:00,99684,城市, 
新余市,分宜县,471165,82,471165_82,XY_HMNB_XD_分宜县富长新村$F1FD_W,XY_HMNB_W_XD_分宜县富长新村F1FD-8,114.693,27.8078,宏站,华为,县城,城区,98,29725,5,210,2017/9/29 0:00,99685,城市, 
新余市,分宜县,471165,83,471165_83,XY_HMNB_XD_分宜县富长新村$F1FD_W,XY_HMNB_W_XD_分宜县富长新村F1FD-9,114.693,27.8078,宏站,华为,县城,城区,96,29725,5,330,2017/9/29 0:00,99686,城市, 
新余市,分宜县,471285,81,471285_81,XY_HMNB_XD_分宜县浒塘$F1FX_W,XY_HMNB_W_XD_分宜县浒塘$F1FX-7,114.67041,27.82324,宏站,华为,县城,城区,255,29725,5,0,2017/9/29 0:00,99687,城市, 
新余市,分宜县,471285,82,471285_82,XY_HMNB_XD_分宜县浒塘$F1FX_W,XY_HMNB_W_XD_分宜县浒塘$F1FX-8,114.67041,27.82324,宏站,华为,县城,城区,256,29725,5,120,2017/9/29 0:00,99688,城市, 
新余市,分宜县,471285,83,471285_83,XY_HMNB_XD_分宜县浒塘$F1FX_W,XY_HMNB_W_XD_分宜县浒塘$F1FX-9,114.67041,27.82324,宏站,华为,县城,城区,257,29725,5,240,2017/9/29 0:00,99689,城市, 
新余市,分宜县,471175,81,471175_81,XY_HMNB_XD_分宜县火车站$F1FX_W,XY_HMNB_W_XD_分宜县火车站$F1FX-7,114.659,27.81035,宏站,华为,县城,城区,128,29440,5,0,2017/9/29 0:00,99690,城市, 
新余市,分宜县,471175,82,471175_82,XY_HMNB_XD_分宜县火车站$F1FX_W,XY_HMNB_W_XD_分宜县火车站$F1FX-8,114.659,27.81035,宏站,华为,县城,城区,127,29440,5,120,2017/9/29 0:00,99691,城市, 
新余市,分宜县,471175,83,471175_83,XY_HMNB_XD_分宜县火车站$F1FX_W,XY_HMNB_W_XD_分宜县火车站$F1FX-9,114.659,27.81035,宏站,华为,县城,城区,126,29440,5,240,2017/9/29 0:00,99692,城市, 
新余市,分宜县,471162,81,471162_81,XY_HMNB_XD_分宜县界垦小康村$F1FD_W,XY_HMNB_W_XD_分宜县界垦小康村$F1FD-7,114.689,27.8147,宏站,华为,县城,城区,439,29445,5,70,2017/9/29 0:00,99693,城市, 
新余市,分宜县,471162,82,471162_82,XY_HMNB_XD_分宜县界垦小康村$F1FD_W,XY_HMNB_W_XD_分宜县界垦小康村$F1FD-8,114.689,27.8147,宏站,华为,县城,城区,438,29445,5,200,2017/9/29 0:00,99694,城市, 
新余市,分宜县,471162,83,471162_83,XY_HMNB_XD_分宜县界垦小康村$F1FD_W,XY_HMNB_W_XD_分宜县界垦小康村$F1FD-9,114.689,27.8147,宏站,华为,县城,城区,440,29445,5,300,2017/9/29 0:00,99695,城市, 
新余市,分宜县,471172,81,471172_81,XY_HMNB_XD_分宜县青春康源$F1FX_W,XY_HMNB_W_XD_分宜县青春康源$F1FX-7,114.645,27.8056,宏站,华为,县城,城区,135,29725,5,0,2017/9/29 0:00,99696,城市, 
新余市,分宜县,471172,82,471172_82,XY_HMNB_XD_分宜县青春康源$F1FX_W,XY_HMNB_W_XD_分宜县青春康源$F1FX-8,114.645,27.8056,宏站,华为,县城,城区,137,29725,5,90,2017/9/29 0:00,99697,城市, 
新余市,分宜县,471172,83,471172_83,XY_HMNB_XD_分宜县青春康源$F1FX_W,XY_HMNB_W_XD_分宜县青春康源$F1FX-9,114.645,27.8056,宏站,华为,县城,城区,136,29725,5,180,2017/9/29 0:00,99698,城市, 
